E:\Data\IMG\center_2021_04_20_02_22_21_903.jpg, E:\Data\IMG\left_2021_04_20_02_22_21_903.jpg, E:\Data\IMG\right_2021_04_20_02_22_21_903.jpg, 0, 0, 0, 7.806302E-05
E:\Data\IMG\center_2021_04_20_02_22_22_009.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_009.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_009.jpg, 0, 0, 0, 7.782047E-05
E:\Data\IMG\center_2021_04_20_02_22_22_116.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_116.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_116.jpg, 0, 0, 0, 7.857933E-05
E:\Data\IMG\center_2021_04_20_02_22_22_228.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_228.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_228.jpg, 0, 0, 0, 7.99505E-05
E:\Data\IMG\center_2021_04_20_02_22_22_337.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_337.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_337.jpg, 0, 0, 0, 7.840781E-05
E:\Data\IMG\center_2021_04_20_02_22_22_441.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_441.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_441.jpg, 0, 0, 0, 7.919085E-05
E:\Data\IMG\center_2021_04_20_02_22_22_543.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_543.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_543.jpg, 0, 0, 0, 8.383265E-05
E:\Data\IMG\center_2021_04_20_02_22_22_649.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_649.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_649.jpg, 0, 0, 0, 7.798724E-05
E:\Data\IMG\center_2021_04_20_02_22_22_789.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_789.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_789.jpg, 0, 0, 0, 7.834957E-05
E:\Data\IMG\center_2021_04_20_02_22_22_894.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_894.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_894.jpg, 0, 0, 0, 8.047578E-05
E:\Data\IMG\center_2021_04_20_02_22_22_995.jpg, E:\Data\IMG\left_2021_04_20_02_22_22_995.jpg, E:\Data\IMG\right_2021_04_20_02_22_22_995.jpg, 0, 0, 0, 7.821528E-05
E:\Data\IMG\center_2021_04_20_02_22_23_100.jpg, E:\Data\IMG\left_2021_04_20_02_22_23_100.jpg, E:\Data\IMG\right_2021_04_20_02_22_23_100.jpg, 0, 0, 0, 7.786888E-05
